vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2019 Dodge Durango,GT Plus RWD,Fair Price,"$26,997 ","40,133","Irving, TX",White Knuckle Clearcoat,Black,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,RWD,Personal or Rental Use
2014 Buick Enclave,Premium FWD,Fair Price,"$15,388 ","88,383","Burleson, TX",Crystal Red Tintcoat,Cocoa,1 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Personal or Rental Use
2019 Dodge Journey,GT AWD,Fair Price,"$20,993 ","29,741","Tulsa, OK",Granite Pearlcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2014 Hyundai Santa Fe Sport,Base 2.4L FWD,Fair Price,"$14,480 ","45,444","Yukon, OK",Mineral Gray,Gray,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2013 Hyundai Tucson,GLS FWD Automatic,Fair Price,"$11,990 ","99,233","Oklahoma City, OK",Graphite Gray,Black,0 reported accidents,Clean,21 cty / 30 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2014 Jeep Grand Cherokee,Overland 4WD,Fair Price,"$21,996 ","71,200","Grapevine, TX",Maximum Steel Metallic Clearcoat,Brown/Light Frost,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,4WD,Personal or Rental Use
2016 Ford Escape,SE FWD,Fair Price,"$14,450 ","48,912","Yukon, OK",Shadow Black,Charcoal Black,0 reported accidents,Clean,23 cty / 32 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2017 Toyota RAV4,LE FWD,Fair Price,"$18,543 ","45,661","Arlington, TX",Silver Sky Metallic,Black,1 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,NA,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Subaru Crosstrek,2.0i Limited CVT,Fair Price,"$25,900 ","20,118","Salina, KS",Sunshine Orange,Gray,0 reported accidents,Clean,27 cty / 33 hwy,Automatic,Gas,Well Equipped,2.0L Flat-4 Gas,AWD,Personal or Rental Use
2016 Jeep Renegade,Latitude 4WD,Fair Price,"$17,732 ","24,593","Bedford, TX",Colorado Red,Black,0 reported accidents,Clean,24 cty / 31 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas Turbocharged,4WD,Personal or Rental Use
2018 Honda CR-V,EX AWD,Fair Price,"$27,632 ","6,805","Wichita, KS",Unknown,Unknown,0 reported accidents,Clean,27 cty / 33 hwy,Automatic,Gas,NA,1.5L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2013 Honda CR-V,EX-L AWD,Fair Price,"$13,732 ","100,415","Abilene, TX",Blue,Unknown,0 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2015 Nissan JUKE,S FWD CVT,Fair Price,"$13,991 ","31,894","Ft. Worth, TX",Brilliant Silver,Black,0 reported accidents,Clean,28 cty / 32 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2010 Lexus RX,RX 350 FWD,Fair Price,"$13,995 ","101,037","Carrollton, TX",Matador Red Mica,Tan,0 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Ford Edge,Titanium FWD,Fair Price,"$17,172 ","79,711","Fort Worth, TX",Ruby Red Metallic Tinted Clearcoat,Ceramic,0 reported accidents,Clean,20 cty / 30 hwy,Automatic,Gas,Standard,3.5L V-6 Gas Turbocharged,FWD,Personal or Rental Use
2015 Volvo XC60,2015.5 T6 AWD,Fair Price,"$18,990 ","75,440","Oklahoma City, OK",Crystal White Pearl,Off-Black,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2019 INFINITI QX60,PURE FWD,Fair Price,"$29,000 ","32,560","Grapevine, TX",Liquid Platinum,Graphite,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Minimal Options,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Jeep Cherokee,Latitude FWD,Fair Price,"$20,400 ","5,216","Bentonville, AR",Bright White Clearcoat,Black,0 reported accidents,Clean,22 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Mitsubishi Eclipse Cross,ES S-AWC,Fair Price,"$14,611 ","44,529","Lewisville, TX",Mercury Gray Metallic,Gray,0 reported accidents,Clean,25 cty / 28 hwy,Automatic,Gas,Standard,1.5L Inline-4 Gas Turbocharged,4WD,Personal or Rental Use
